lat,long,alt,temp2m,humidity,precip,atm,wind,m.fapar,Campo_Rupestre,Cerrado_lato_sensu,Floresta_de_Terra_Firme,Floresta_Estacional_Semidecidual,Floresta_Ombrofila_Densa,Restinga,Savana_Estepica,Floresta_de_Igapo,Floresta_de_Varzea,Campo_de_Varzea,Campo_de_Altitude,Vegetacao_Sobre_Afloramentos_Rochosos,Savana_Amazonica,Campinarana,Campo_Limpo,Floresta_Estacional_Decidual,Floresta_Estacional_Perenifolia,Floresta_Ombrofila_Mista,Palmeiral,Manguezal
19,35,30.37,25.91,85.69,6.02,35.96,68.43,146.4,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0
19,54,170.7,26.21,77.42,4.13,35.96,57.35,139.22,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
19,63,203.08,27.38,66.42,3.53,35.96,73.32,111.19,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,64,435.75,26.39,65.57,3.22,35.96,84.06,86.46,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19,65,563.09,26.3,65.82,2.72,35.96,84.87,93.7,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
19,66,155.09,26.46,65.85,2.48,35.96,87.84,81.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,68,237.05,26.59,68.23,2.46,35.96,93.45,83.74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
19,69,223.3,26.64,70.56,2.84,35.96,92.5,107.35,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
19,70,45.46,27.04,72.67,2.78,35.96,94.73,101.57,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,51,309.31,26.05,77.84,4.81,35.96,58.99,136.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
20,54,186.44,26.2,75,3.79,35.96,57.27,148.18,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0
20,58,100.36,27.02,73.66,4.06,35.96,63.65,134.31,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,65,396.07,26.59,62.61,2.42,35.96,86.48,91.81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,48,108.15,26.91,76.41,5.01,35.93,57.44,131.7,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
21,61,99.76,27.31,68.04,3.78,35.93,72.13,114.09,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
21,65,379.75,26.66,60.84,2.23,35.93,89.48,83.86,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,73,67.37,27.39,67.48,2.06,35.93,101.59,62.98,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,51,182.23,26.86,73.6,4.32,35.93,69.97,121.62,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
22,52,198.19,26.76,72.23,4.01,35.93,68.74,116.66,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0
22,65,406.48,26.29,60.28,2.15,35.93,91.36,79.75,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,68,223.01,27.34,60.63,2.13,35.93,88.5,79.17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,73,74.95,27.15,62.96,1.99,35.93,103.71,52.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
22,76,44.65,26.56,75.75,3.01,35.93,119.1,86.42,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
23,47,195.88,25.98,76.58,4.9,35.86,80.49,139.81,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
23,49,164.45,26.83,73.65,4.62,35.86,78.48,125.88,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,50,166.45,26.69,72.88,4.46,35.86,77.41,123.45,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
23,51,232.62,26.74,72.19,4.3,35.86,75.42,111.05,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0
23,58,248.64,26.41,68.35,3.29,35.86,78.19,125.37,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23,66,390.4,26.2,59.93,2.07,35.86,91.93,65.57,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,72,143.37,27.43,59.36,2.12,35.86,103.11,55.96,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
24,43,213.2,25.48,80.58,5.17,35.86,92.01,144.13,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0
24,51,272.58,26.53,71.53,4.39,35.86,79.41,96.06,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
24,63,398.24,27.59,56.98,2.37,35.86,98.73,89.03,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,64,382.56,27.05,56.8,2.26,35.86,96.62,81.74,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,66,519.65,26.1,59.18,2.14,35.86,94.75,73.8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
24,67,390.08,26.41,59.56,2.29,35.86,97.51,84.14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
24,75,421.19,25.03,71.73,2.42,35.86,116.05,81.19,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0
24,76,88.66,25.84,74.67,3.22,35.86,119.57,96.26,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1
24,77,19.44,26.47,76.94,3.68,35.86,120.23,97.87,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0
25,36,215.81,25.24,83.31,5.86,35.78,92.52,154.78,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,50,261.14,26.19,72.93,4.61,35.78,86.87,106.67,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,51,227.09,26.44,71.08,4.51,35.78,82.5,103.19,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25,52,205.12,26.51,69.21,4.23,35.78,80.15,94.19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,56,211.28,26.73,64.19,3.18,35.78,79.62,90.84,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
25,62,188.53,28.1,56.27,2.36,35.78,102.42,92.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
25,65,459.91,26.31,57.07,2,35.78,101.69,67.92,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,68,517.87,25.45,61.04,2.5,35.78,109.16,94.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
25,69,430.5,26.41,59.17,2.49,35.78,109.51,79.11,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,73,523.72,24.88,64.41,1.91,35.78,110.6,54.94,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
25,76,122.98,25.55,74.7,3.37,35.78,118.44,90.52,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
25,77,53.15,26.29,76.73,3.95,35.78,119.26,97.78,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0
26,1,186.41,25.2,85.34,5.7,35.78,23.88,144.52,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26,13,107.47,25.49,87.19,6.1,35.78,52.62,147.11,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
26,20,55.02,26.08,85.62,5.69,35.78,71.35,138.31,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
26,51,205.29,26.41,70.81,4.62,35.78,84.65,95.38,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,52,220.07,26.49,68.81,4.38,35.78,82.91,101.37,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
26,54,285.58,26.24,66.56,3.65,35.78,81.07,88.32,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0
26,56,280.5,26.59,63.15,3.25,35.78,82.98,88.92,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,67,481.07,25.41,59.62,2.03,35.78,110.74,72.35,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,68,539.23,25.51,59.65,2.12,35.78,113.04,71.13,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,70,586.08,25.88,58.47,2.05,35.78,114.49,71.96,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,75,388.19,24.37,72.88,2.59,35.78,114.45,81.14,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,76,144.11,25.28,75.33,3.53,35.78,117.25,99.08,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0
26,77,34.79,26.17,76.86,4.16,35.78,117.69,104.56,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
27,1,201.26,25.39,82.97,5.43,35.71,23.3,150.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,5,193.55,25,86.18,5.87,35.71,30.85,150.47,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0
27,6,190.22,25.03,86.59,6.02,35.71,32.95,151.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,48,179.61,26.02,75.5,4.98,35.71,89.34,106.06,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
27,50,212,26.08,72.63,4.8,35.71,87.83,91.92,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
27,55,308.14,26.37,63.67,3.56,35.71,83.99,89.73,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0
27,62,238.94,27.74,54.18,1.92,35.71,105.96,80.8,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,66,458.71,26.53,56.25,1.66,35.71,112.01,67.25,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,67,394.12,26.66,56.5,1.68,35.71,113.82,64.97,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
27,68,389.54,26.65,56.7,1.7,35.71,116.09,63.44,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,69,583.62,26.32,57.33,1.73,35.71,119.58,67.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
27,70,469.75,25.96,58.16,1.76,35.71,119.91,59.69,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
27,71,488.82,25.37,59.76,1.79,35.71,117.19,65.2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,72,580.75,24.55,62.61,1.83,35.71,112.91,62.92,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
27,74,565,23.13,72.88,2.55,35.71,111.29,81.32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
27,75,480.12,23.91,74.9,2.95,35.71,114.06,88.15,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
27,76,157.72,25.16,76.29,3.71,35.71,115.36,104.8,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
27,77,23.8,26.19,77,4.16,35.71,115.13,91.06,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0
28,12,117.03,25.48,85.21,5.38,35.71,33.76,146.51,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,19,98.65,25.97,84.7,5.55,35.71,51.16,133.91,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
28,47,176.05,26.18,75.2,4.85,35.71,83.8,102.49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,51,292.36,26.19,70.4,4.75,35.71,87.56,101.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,58,295.81,26.81,56.87,2.45,35.71,89.77,95.8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,64,498.84,26.54,56.2,1.61,35.71,109.63,65.78,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,67,360.23,26.82,55.66,1.47,35.71,114.1,56.82,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
28,68,347.78,26.73,56.39,1.46,35.71,116.54,46.53,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,69,325.68,26.55,57.25,1.46,35.71,120.29,40.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
28,70,354,26.03,58.97,1.59,35.71,122.1,53.66,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,71,464.21,25.41,61.12,1.62,35.71,120.97,62.15,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,72,625.71,24.58,64.38,1.78,35.71,116.39,69.01,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
28,73,735.94,23.63,69.27,2.21,35.71,110.93,63.86,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,74,638.61,22.85,75.87,3.03,35.71,109.63,80.04,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
28,75,256.26,24.11,76.48,3.43,35.71,111.14,107.75,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
28,76,50.15,25.46,76.84,3.9,35.71,111.42,111.01,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
29,47,194.75,26.68,72.3,4.77,35.64,78.62,105.43,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
29,51,204.26,26.18,69.86,4.7,35.64,89.55,97.96,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
29,59,484.52,26.28,56.29,2.15,35.64,94.22,100.3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,60,490.28,26.22,56.62,1.92,35.64,96.15,87.48,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
29,65,401.92,26.59,56.13,1.43,35.64,112.04,56.22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
29,66,376.33,26.66,55.55,1.39,35.64,114.4,57.63,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
29,70,340.87,25.89,61.1,1.58,35.64,120.67,61.34,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0
29,71,360.99,25.68,63.04,1.62,35.64,120.48,64.33,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
29,72,332.13,25.13,66.13,1.85,35.64,116.67,62.35,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0
29,73,439.83,24.32,70.92,2.44,35.64,110.83,82.66,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
29,74,306.18,23.68,76.66,3.41,35.64,106.85,106.75,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
29,75,85.14,24.96,76.79,3.68,35.64,107.04,110.61,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
29,76,27.19,25.95,76.96,3.83,35.64,107.49,112.2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,11,164.26,25.18,85.16,5.28,35.64,20.76,143.55,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0
30,13,158.34,25.34,84.94,5.47,35.64,9.44,149.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,30,247.1,25.33,82.44,5.52,35.64,94.24,152.2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,31,226.15,25.21,82.53,5.78,35.64,101.79,155.36,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
30,34,273.94,25.26,80.87,6.09,35.64,115.38,134.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
30,36,265.67,25.15,79.31,5.98,35.64,95.57,145.23,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0
30,37,282.71,24.86,80.03,5.94,35.64,93.31,131.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
30,56,425.96,26.39,58.62,2.84,35.64,92.18,75.64,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
30,60,467.26,26.53,56.14,1.9,35.64,92.9,84.24,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
30,62,401.25,26.92,56.88,1.68,35.64,96.81,58.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
30,63,400.72,26.58,56.75,1.57,35.64,100.93,60.22,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
30,68,427.63,25.65,59.15,1.43,35.64,116.05,53.75,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0
30,71,173.58,25.72,65.22,1.74,35.64,118.57,68.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
30,72,134.26,25.65,67.62,2.04,35.64,115.94,76.05,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0
30,73,237.7,25.27,71.4,2.63,35.64,110.41,80.41,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
30,74,150.26,25.02,75.55,3.39,35.64,104.92,99.72,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0
30,75,45.84,25.82,76.57,3.47,35.64,104.6,99.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,22,164.37,25.65,81.41,5.34,35.53,49.72,131.22,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
